2022-06-01 04:52:00.599  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] c.c.PensionManagementPortalApplication   : Starting PensionManagementPortalApplication using Java 1.8.0_301 on intuitdepfceb5 with PID 71753 (/Users/bshree/git/personal/pms-finalworking/Pension-Management-portall/target/classes started by bshree in /Users/bshree/git/personal/pms-finalworking/Pension-Management-portall)
2022-06-01 04:52:09.497  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-06-01 04:52:09.675  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] c.c.PensionManagementPortalApplication   : Started PensionManagementPortalApplication in 9.694 seconds (JVM running for 10.426)
2022-06-01 04:53:00.052  INFO [Pension-Management-Portal,,] 71753 --- [http-nio-9085-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-01 04:53:00.052  INFO [Pension-Management-Portal,,] 71753 --- [http-nio-9085-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-06-01 04:53:00.055  INFO [Pension-Management-Portal,,] 71753 --- [http-nio-9085-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 3 ms
2022-06-01 04:53:25.115  INFO [Pension-Management-Portal,c1284188e072ffb9,c1284188e072ffb9] 71753 --- [http-nio-9085-exec-2] c.c.controller.PensionController         : STARTED - doLogin
2022-06-01 04:53:26.143 ERROR [Pension-Management-Portal,c1284188e072ffb9,c1284188e072ffb9] 71753 --- [http-nio-9085-exec-2] c.c.controller.PensionController         : EXCEPTION - doLogin
2022-06-01 04:53:26.147  WARN [Pension-Management-Portal,c1284188e072ffb9,c1284188e072ffb9] 71753 --- [http-nio-9085-exec-2] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: token can't be generated]
2022-06-01 04:54:30.627  INFO [Pension-Management-Portal,,] 71753 --- [Thread-1] o.s.c.n.e.s.EurekaServiceRegistry        : Unregistering application PENSION-MANAGEMENT-PORTAL with eureka with status DOWN
2022-06-01 04:54:30.647  INFO [Pension-Management-Portal,,] 71753 --- [Thread-1] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1654039470647, current=DOWN, previous=UP]
2022-06-01 04:54:30.647  INFO [Pension-Management-Portal,,] 71753 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_PENSION-MANAGEMENT-PORTAL/192.168.18.10:Pension-Management-Portal:9085: registering service...
2022-06-01 04:54:30.687  INFO [Pension-Management-Portal,,] 71753 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_PENSION-MANAGEMENT-PORTAL/192.168.18.10:Pension-Management-Portal:9085 - registration status: 204
2022-06-01 04:54:30.722  INFO [Pension-Management-Portal,,] 71753 --- [Thread-1] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2022-06-01 04:54:30.723  INFO [Pension-Management-Portal,,] 71753 --- [Thread-1] .SchemaDropperImpl$DelayedDropActionImpl : HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2022-06-01 04:54:30.943  WARN [Pension-Management-Portal,,] 71753 --- [Thread-1] o.s.b.f.support.DisposableBeanAdapter    : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
2022-06-01 04:54:30.945  INFO [Pension-Management-Portal,,] 71753 --- [Thread-1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2022-06-01 04:54:30.949  INFO [Pension-Management-Portal,,] 71753 --- [Thread-1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2022-06-01 04:54:30.950  INFO [Pension-Management-Portal,,] 71753 --- [Thread-1] com.netflix.discovery.DiscoveryClient    : Shutting down DiscoveryClient ...
2022-06-01 04:54:33.954  INFO [Pension-Management-Portal,,] 71753 --- [Thread-1] com.netflix.discovery.DiscoveryClient    : Unregistering ...
2022-06-01 04:54:33.963  INFO [Pension-Management-Portal,,] 71753 --- [Thread-1] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_PENSION-MANAGEMENT-PORTAL/192.168.18.10:Pension-Management-Portal:9085 - deregister  status: 200
2022-06-01 04:54:33.972  INFO [Pension-Management-Portal,,] 71753 --- [Thread-1] com.netflix.discovery.DiscoveryClient    : Completed shut down of DiscoveryClient
2022-06-01 04:54:34.240  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] c.c.PensionManagementPortalApplication   : Starting PensionManagementPortalApplication using Java 1.8.0_301 on intuitdepfceb5 with PID 71753 (/Users/bshree/git/personal/pms-finalworking/Pension-Management-portall/target/classes started by bshree in /Users/bshree/git/personal/pms-finalworking/Pension-Management-portall)
2022-06-01 04:54:34.241  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] c.c.PensionManagementPortalApplication   : No active profile set, falling back to default profiles: default
2022-06-01 04:54:34.785  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-06-01 04:54:34.790  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 4 ms. Found 0 JPA repository interfaces.
2022-06-01 04:54:34.969  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=d95500e3-ea95-3539-9bdb-7e8f22f0fe12
2022-06-01 04:54:35.320  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9085 (http)
2022-06-01 04:54:35.322  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-06-01 04:54:35.322  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-06-01 04:54:35.343  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-06-01 04:54:35.344  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1099 ms
2022-06-01 04:54:35.393  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-2 - Starting...
2022-06-01 04:54:35.397  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-2 - Start completed.
2022-06-01 04:54:35.397  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:2d667037-948e-42d0-a975-91d370b46fa8'
2022-06-01 04:54:35.608  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-06-01 04:54:35.616  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-06-01 04:54:35.636  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-06-01 04:54:35.637  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-06-01 04:54:35.662  WARN [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-06-01 04:54:35.775  WARN [Pension-Management-Portal,,] 71753 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-06-01 04:54:35.838  WARN [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.c.openfeign.FeignClientFactoryBean   : The provided URL is empty. Will try picking an instance via load-balancing.
2022-06-01 04:54:36.592  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
2022-06-01 04:54:36.720  WARN [Pension-Management-Portal,,] 71753 --- [restartedMain] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2022-06-01 04:54:36.760  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2022-06-01 04:54:36.763  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2022-06-01 04:54:36.764  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-06-01 04:54:36.768  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2022-06-01 04:54:36.769  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2022-06-01 04:54:36.769  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2022-06-01 04:54:36.769  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Application is null : false
2022-06-01 04:54:36.769  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2022-06-01 04:54:36.769  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2022-06-01 04:54:36.769  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2022-06-01 04:54:36.795  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : The response status is 200
2022-06-01 04:54:36.797  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2022-06-01 04:54:36.798  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2022-06-01 04:54:36.800  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1654039476799 with initial instances count: 4
2022-06-01 04:54:36.807  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application PENSION-MANAGEMENT-PORTAL with eureka with status UP
2022-06-01 04:54:36.807  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1654039476807, current=UP, previous=STARTING]
2022-06-01 04:54:36.808  INFO [Pension-Management-Portal,,] 71753 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_PENSION-MANAGEMENT-PORTAL/192.168.18.10:Pension-Management-Portal:9085: registering service...
2022-06-01 04:54:36.812  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9085 (http) with context path ''
2022-06-01 04:54:36.812  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 9085
2022-06-01 04:54:36.817  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-06-01 04:54:36.817  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-06-01 04:54:36.824  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-06-01 04:54:36.830  INFO [Pension-Management-Portal,,] 71753 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_PENSION-MANAGEMENT-PORTAL/192.168.18.10:Pension-Management-Portal:9085 - registration status: 204
2022-06-01 04:54:36.878  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] c.c.PensionManagementPortalApplication   : Started PensionManagementPortalApplication in 2.696 seconds (JVM running for 157.626)
2022-06-01 04:54:36.881  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] .ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2022-06-01 04:54:39.963  INFO [Pension-Management-Portal,,] 71753 --- [Thread-8] o.s.c.n.e.s.EurekaServiceRegistry        : Unregistering application PENSION-MANAGEMENT-PORTAL with eureka with status DOWN
2022-06-01 04:54:39.964  INFO [Pension-Management-Portal,,] 71753 --- [Thread-8] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1654039479964, current=DOWN, previous=UP]
2022-06-01 04:54:39.964  INFO [Pension-Management-Portal,,] 71753 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_PENSION-MANAGEMENT-PORTAL/192.168.18.10:Pension-Management-Portal:9085: registering service...
2022-06-01 04:54:39.977  INFO [Pension-Management-Portal,,] 71753 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_PENSION-MANAGEMENT-PORTAL/192.168.18.10:Pension-Management-Portal:9085 - registration status: 204
2022-06-01 04:54:39.988  INFO [Pension-Management-Portal,,] 71753 --- [Thread-8] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2022-06-01 04:54:39.988  INFO [Pension-Management-Portal,,] 71753 --- [Thread-8] .SchemaDropperImpl$DelayedDropActionImpl : HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2022-06-01 04:54:40.190  WARN [Pension-Management-Portal,,] 71753 --- [Thread-8] o.s.b.f.support.DisposableBeanAdapter    : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
2022-06-01 04:54:40.191  INFO [Pension-Management-Portal,,] 71753 --- [Thread-8] com.zaxxer.hikari.HikariDataSource       : HikariPool-2 - Shutdown initiated...
2022-06-01 04:54:40.194  INFO [Pension-Management-Portal,,] 71753 --- [Thread-8] com.zaxxer.hikari.HikariDataSource       : HikariPool-2 - Shutdown completed.
2022-06-01 04:54:40.195  INFO [Pension-Management-Portal,,] 71753 --- [Thread-8] com.netflix.discovery.DiscoveryClient    : Shutting down DiscoveryClient ...
2022-06-01 04:54:43.199  INFO [Pension-Management-Portal,,] 71753 --- [Thread-8] com.netflix.discovery.DiscoveryClient    : Unregistering ...
2022-06-01 04:54:43.206  INFO [Pension-Management-Portal,,] 71753 --- [Thread-8] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_PENSION-MANAGEMENT-PORTAL/192.168.18.10:Pension-Management-Portal:9085 - deregister  status: 200
2022-06-01 04:54:43.211  INFO [Pension-Management-Portal,,] 71753 --- [Thread-8] com.netflix.discovery.DiscoveryClient    : Completed shut down of DiscoveryClient
2022-06-01 04:54:43.609  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] c.c.PensionManagementPortalApplication   : Starting PensionManagementPortalApplication using Java 1.8.0_301 on intuitdepfceb5 with PID 71753 (/Users/bshree/git/personal/pms-finalworking/Pension-Management-portall/target/classes started by bshree in /Users/bshree/git/personal/pms-finalworking/Pension-Management-portall)
2022-06-01 04:54:43.609  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] c.c.PensionManagementPortalApplication   : No active profile set, falling back to default profiles: default
2022-06-01 04:54:44.003  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-06-01 04:54:44.008  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 4 ms. Found 0 JPA repository interfaces.
2022-06-01 04:54:44.150  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=d95500e3-ea95-3539-9bdb-7e8f22f0fe12
2022-06-01 04:54:44.364  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9085 (http)
2022-06-01 04:54:44.365  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-06-01 04:54:44.365  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-06-01 04:54:44.379  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-06-01 04:54:44.379  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 767 ms
2022-06-01 04:54:44.407  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-3 - Starting...
2022-06-01 04:54:44.409  INFO [Pension-Management-Portal,,] 71753 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-3 - Start completed.
